year,player,conference,athlete_id,position,passing_completions,passing_att,passing_pct,passing_yds,passing_td,passing_int,passing_ypa,rushing_car,rushing_yds,rushing_td,rushing_ypc,rushing_long,dual_threat,team,total_wins,qb_type,off_explosiveness,off_success_rate,off_pts_per_opp,passing_qbr,predicted_qbr,fpi,recruiting_points,avg_temp,avg_humidity,avg_wind,avg_pressure,pct_indoors
2006,Riley Skinner,ACC,169077,QB,171,260,0.658,2051,9,5,7.9,52,-71,0,-1.4,12,Not Dual Threat,Wake Forest,11,Other,0.9535162463856792,0.4074567243675099,-0.09210526315789472,56.07142857142857,50.7292170631291,6.5,122.34,61.981818181818184,60.09090909090909,6.390909090909091,1018.3454545454546,0
2006,Colt McCoy,Big 12,175772,QB,217,318,0.682,2570,29,7,8.1,68,170,2,2.5,33,Not Dual Threat,Texas,10,Other,0.8440777065736517,0.4551724137931034,-0.5157894736842106,64.68333333333334,67.50155081937552,21.6,281.78,76.18888888888888,49.77777777777778,6.711111111111111,1015.3888888888889,0
2006,Thaddeus Lewis,ACC,191344,QB,180,340,0.529,2134,11,16,6.3,99,-74,1,-0.7,13,Not Dual Threat,Duke,0,Other,0.9284791947697476,0.351270553064275,0,24,26.393163353940775,-13.7,152.48,66.94166666666666,45,7.116666666666667,1017.9181818181818,0
2007,Riley Skinner,ACC,169077,QB,236,326,0.724,2204,12,13,6.8,61,32,1,0.5,19,Not Dual Threat,Wake Forest,9,Other,0.8470546473924617,0.3987878787878788,-0.25,52.73571428571429,47.9384791791645,6.5,133.78,67.925,43.083333333333336,9.6,1018.0166666666667,0
2007,Chris Turner,ACC,169181,QB,153,241,0.635,1958,7,7,8.1,44,-26,0,-0.6,41,Not Dual Threat,Maryland,6,Other,0.8854808763679403,0.3972939729397294,0,50.909090909090914,48.48200323540205,5.2,196.41,67.3,47.27272727272727,6.818181818181818,1020.9727272727273,0
2007,Blake Szymanski,Big 12,173619,QB,264,461,0.573,2844,22,18,6.2,61,99,1,1.6,39,Not Dual Threat,Baylor,3,Other,0.9151119056152957,0.3764705882352941,0,35.45333333333333,40.38790717201406,-12.1,128.62,78.25833333333334,52.25,11.15,1016.425,0
2007,Zac Robinson,Big 12,174054,QB,201,333,0.604,2824,23,9,8.5,141,843,9,6,57,Dual Threat,Oklahoma State,7,Pure Runner,0.9224592694516974,0.4767080745341615,0,66.325,68.3501305080387,11.2,208.78,75.22727272727272,59.54545454545455,9.027272727272727,1014.7,0
2007,Colt McCoy,Big 12,175772,QB,276,424,0.651,3303,22,18,7.8,114,492,4,4.3,44,Not Dual Threat,Texas,10,Dual Threat,0.9343117459328448,0.452894438138479,-0.13333333333333333,62.06,59.21799051401278,16,293.1,77.49,45.8,7.67,1016.91,0
2007,Tim Tebow,SEC,183484,QB,234,350,0.669,3286,32,6,9.4,210,895,23,4.3,25,Dual Threat,Florida,9,Dual Threat,0.8961988754308239,0.518628912071535,-0.06862745098039216,80.74166666666666,84.76963748164599,20.5,313.05,72.44444444444444,52.888888888888886,8.311111111111112,1018.1777777777778,0
2007,Todd Reesing,Big 12,184336,QB,275,445,0.618,3486,33,7,7.8,92,197,3,2.1,53,Not Dual Threat,Kansas,12,Pocket Passer,0.9017951808694056,0.45657894736842103,0,65.61333333333333,64.2251368850703,18.9,163.81,70.73,50.7,10.23,1017.45,0
