"","game_id","school","conference","home_away","opponent","opponent_conference","points","total_yards","net_passing_yards","completion_attempts","passing_tds","yards_per_pass","passes_intercepted","interception_yards","interception_tds","rushing_attempts","rushing_yards","rush_tds","yards_per_rush_attempt","first_downs","third_down_eff","fourth_down_eff","punt_returns","punt_return_yards","punt_return_tds","kick_return_yards","kick_return_tds","kick_returns","kicking_points","fumbles_recovered","fumbles_lost","total_fumbles","tackles","tackles_for_loss","sacks","qb_hurries","interceptions","passes_deflected","turnovers","defensive_tds","total_penalties_yards","possession_time","points_allowed","total_yards_allowed","net_passing_yards_allowed","completion_attempts_allowed","passing_tds_allowed","yards_per_pass_allowed","passes_intercepted_allowed","interception_yards_allowed","interception_tds_allowed","rushing_attempts_allowed","rushing_yards_allowed","rush_tds_allowed","yards_per_rush_attempt_allowed","first_downs_allowed","third_down_eff_allowed","fourth_down_eff_allowed","punt_returns_allowed","punt_return_yards_allowed","punt_return_tds_allowed","kick_return_yards_allowed","kick_return_tds_allowed","kick_returns_allowed","kicking_points_allowed","fumbles_recovered_allowed","fumbles_lost_allowed","total_fumbles_allowed","tackles_allowed","tackles_for_loss_allowed","sacks_allowed","qb_hurries_allowed","interceptions_allowed","passes_deflected_allowed","turnovers_allowed","defensive_tds_allowed","total_penalties_yards_allowed","possession_time_allowed","season","champion"
"1",282780008,"Florida","SEC","away","Arkansas","SEC",38,"514","243","19-29","2","8.1","1","24","0","38","278","3","7.3","25","6-13","3-3","2","25","0",NA,NA,NA,"8","1","0",NA,NA,NA,NA,NA,"1",NA,"1",NA,"12-110","20:30",7,"361","228","24-38","0","5.8","1","13","0","25","141","1","5.6","20","5-12","0-2","2","6","0",NA,NA,NA,"1","0","1",NA,NA,NA,NA,NA,"1",NA,"2",NA,"9-75","16:10",2008,TRUE
"2",283270057,"Florida","SEC","home","The Citadel","Southern",70,"705","311","17-22","4","14.1","3","39","0","37","394","6","10.6","28","6-8","1-1","6","31","0",NA,NA,NA,"10","0","0",NA,NA,NA,NA,NA,"0",NA,"0",NA,"3-25","15:06",19,"317","190","17-37","2","5.8",NA,NA,NA,"38","103","1","2.7","18","9-19","2-2",NA,NA,NA,"232","0","10","1","0","0",NA,NA,NA,NA,NA,"3",NA,"3",NA,"0-0","21:34",2008,TRUE
"3",282430057,"Florida","SEC","home","Hawai'i","Western Athletic",56,"406","159","10-17","1","8.9","4","112","2","38","255","4","6.7","20","5-10","1-1","4","95","1",NA,NA,NA,"8","2","0",NA,NA,NA,NA,NA,"0",NA,"0",NA,"13-90","16:00",10,"241","209","21-39","1","4.6",NA,NA,NA,"24","60","0","2.5","16","2-11","0-1","1","-2","0",NA,NA,NA,"4","0","2",NA,NA,NA,NA,NA,"4",NA,"6",NA,"7-60","20:40",2008,TRUE
"4",282642633,"Florida","SEC","away","Tennessee","SEC",30,"243","98","8-15","2","6.4","1","3","0","39","147","0","3.8","16","8-13","0-1","3","92","1",NA,NA,NA,"12","2","0",NA,NA,NA,NA,NA,"0",NA,"0",NA,"9-57","18:33",6,"258","162","18-28","0","5.8",NA,NA,NA,"31","96","1","3.1","16","4-11","0-2","1","3","0",NA,NA,NA,NA,"0","2",NA,NA,NA,NA,NA,"1",NA,"3",NA,"9-95","18:00",2008,TRUE
"5",282710057,"Florida","SEC","home","Ole Miss","SEC",30,"443","346","24-38","1","8.4","1","5","0","35","124","3","3.5","24","1-11","2-4","4","26","0",NA,NA,NA,"6","0","3",NA,NA,NA,NA,NA,"0",NA,"3",NA,"5-35","18:59",31,"325","195","9-21","2","8.8",NA,NA,NA,"38","140","2","3.7","10","5-15","1-2","2","11","0",NA,NA,NA,"7","3","0",NA,NA,NA,NA,NA,"1",NA,"1",NA,"10-69","17:41",2008,TRUE
"6",282990057,"Florida","SEC","home","Kentucky","SEC",63,"446","232","13-18","3","12.9","1","40","1","41","214","5","5.2","23","4-8","2-3","4","79","0",NA,NA,NA,"9","0","0",NA,NA,NA,NA,NA,"1",NA,"1",NA,"7-62","17:03",5,"268","131","17-36","0","3.5","1","3","0","33","141","0","4.3","17","5-17","1-2","1","2","0",NA,NA,NA,"3","0","0",NA,NA,NA,NA,NA,"1",NA,"1",NA,"3-30","19:37",2008,TRUE
"7",283410057,"Florida","SEC","home","Alabama","SEC",31,"358","218","14-22","3","9.8","1","24","0","42","142","1","3.4","19","7-13","0-0","4","25","0",NA,NA,NA,"7","0","0",NA,NA,NA,NA,NA,"0",NA,"0",NA,"6-45","19:24",20,"323","198","12-25","0","7.5",NA,NA,NA,"33","136","2","4.1","18","5-12","0-1","3","20","0",NA,NA,NA,"8","0","0",NA,NA,NA,NA,NA,"1",NA,"1",NA,"2-31","17:16",2008,TRUE
"8",283340052,"Florida","SEC","away","Florida State","ACC",45,"502","193","12-22","3","8.4","3","24","0","46","317","3","6.9","22","6-12","0-1","2","26","0",NA,NA,NA,"9","2","1",NA,NA,NA,NA,NA,"0",NA,"1",NA,"8-71","20:16",15,"242","175","10-32","0","4.4",NA,NA,NA,"33","102","1","3.1","17","3-14","0-2","1","0","0",NA,NA,NA,"9","1","2",NA,NA,NA,NA,NA,"3",NA,"5",NA,"7-55","15:21",2008,TRUE
"9",282850057,"Florida","SEC","home","LSU","SEC",51,"475","222","14-21","2","10.0","2","55","1","41","265","3","6.5","22","5-10","0-0","2","47","0",NA,NA,NA,"15","1","2",NA,NA,NA,NA,NA,"0",NA,"2",NA,"6-53","19:40",21,"321","256","25-41","2","5.9",NA,NA,NA,"26","80","1","3.1","19","4-11","0-2","2","0","0",NA,NA,NA,"3","2","1",NA,NA,NA,NA,NA,"2",NA,"3",NA,"6-40","17:00",2008,TRUE
"10",283060061,"Florida","SEC","away","Georgia","SEC",49,"373","194","13-17","3","11.1","3","152","0","38","185","4","4.9","22","4-9","1-1","1","0","0",NA,NA,NA,"7","1","0",NA,NA,NA,NA,NA,"0",NA,"0",NA,"8-60","17:32",10,"398","308","20-37","1","7.9",NA,NA,NA,"29","106","0","3.7","21","4-12","1-2","3","6","0",NA,NA,NA,"4","0","1",NA,NA,NA,NA,NA,"3",NA,"4",NA,"8-49","19:08",2008,TRUE
