"","X","school","season","champion","points","points_allowed","total_yards","total_yards_allowed","passing_yards","rushing_yards","completions","attempts","completion_pct","yards_per_pass","yards_per_rush","turnovers","interceptions_thrown","interceptions_made","first_downs","third_down_pct","possession_minutes","total_yards_pg","total_yards_allowed_pg","points_pg","points_allowed_pg","total_wins","conference","off_plays","off_drives","off_ppa","off_total_ppa","off_success_rate","off_explosiveness","off_power_success","off_stuff_rate","off_line_yds","off_line_yds_total","off_second_lvl_yds","off_second_lvl_yds_total","off_open_field_yds","off_open_field_yds_total","off_total_opportunities","off_pts_per_opp","off_field_pos_avg_start","off_field_pos_avg_predicted_points","off_havoc_total","off_havoc_front_seven","off_havoc_db","off_standard_downs_rate","off_standard_downs_ppa","off_standard_downs_success_rate","off_standard_downs_explosiveness","off_passing_downs_rate","off_passing_downs_ppa","off_passing_downs_success_rate","off_passing_downs_explosiveness","off_rushing_plays_rate","off_rushing_plays_ppa","off_rushing_plays_total_ppa","off_rushing_plays_success_rate","off_rushing_plays_explosiveness","off_passing_plays_rate","off_passing_plays_ppa","off_passing_plays_total_ppa","off_passing_plays_success_rate","off_passing_plays_explosiveness","def_plays","def_drives","def_ppa","def_total_ppa","def_success_rate","def_explosiveness","def_power_success","def_stuff_rate","def_line_yds","def_line_yds_total","def_second_lvl_yds","def_second_lvl_yds_total","def_open_field_yds","def_open_field_yds_total","def_total_opportunities","def_pts_per_opp","def_field_pos_avg_start","def_field_pos_avg_predicted_points","def_havoc_total","def_havoc_front_seven","def_havoc_db","def_standard_downs_rate","def_standard_downs_ppa","def_standard_downs_success_rate","def_standard_downs_explosiveness","def_passing_downs_rate","def_passing_downs_ppa","def_passing_downs_total_ppa","def_passing_downs_success_rate","def_passing_downs_explosiveness","def_rushing_plays_rate","def_rushing_plays_ppa","def_rushing_plays_total_ppa","def_rushing_plays_success_rate","def_rushing_plays_explosiveness","def_passing_plays_rate","def_passing_plays_ppa","def_passing_plays_total_ppa","def_passing_plays_success_rate","def_passing_plays_explosiveness"
"31",31,"Ohio State",2014,TRUE,588,275,6599,4264,3209,3390,225,350,0.642857142857143,9.16857142857143,5.77512776831346,20,10,21,335,0.515151515151515,410.983333333333,507.615384615385,328,45.2307692307692,21.1538461538462,14,"Big Ten",964,172,0.305317966278507,294.326519492481,0.517634854771784,1.2427405514853,0.741573033707865,0.157142857142857,3.33839285714286,1870,1.45357142857143,814,1.84642857142857,1034,116,4.23275862068965,66.7,1.675,0.021,0,0.021,0.730290456431535,0.182263823553921,0.545454545454545,1.01214364099917,0.269709543568465,0.638510721963541,0.442307692307692,2.01273371345639,0.58091286307054,0.281757171949604,157.784016291778,0.532142857142857,1.05396550803074,0.406639004149378,0.35205107430835,138.004021128873,0.482142857142857,1.62702291918612,892,175,0.0905818823722585,80.7990390760546,0.412556053811659,1.19280012389291,0.701754385964912,0.191142191142191,2.81631701631702,1208,1.2027972027972,516,1.33799533799534,0,74,3.52702702702703,74.4,-1.109,0.029,0,0.029,0.674887892376682,0.0291152883204775,0.470099667774086,1.00638710582016,0.325112107623318,0.218178053472852,43.4785945929671,0.293103448275862,1.81344581935865,0.480941704035874,0.101264900451711,43.4426422937842,0.44988344988345,1.00492129817967,0.507847533632287,0.0959792375120687,43.4785945929671,0.36644591611479,1.49518426490561
"15",15,"Florida",2007,FALSE,517,290,5117,3668,3229,2372,222,327,0.678899082568807,9.87461773700306,5.21318681318681,15,6,9,287,0.562962962962963,225.95,426.416666666667,305.666666666667,43.0833333333333,24.1666666666667,9,"SEC",671,126,0.214942242293363,144.226244578846,0.518628912071535,0.896198875430824,0.714285714285714,0.158333333333333,3.40555555555556,1226,1.49444444444444,538,1.20555555555556,434,102,-0.0686274509803922,64.3,1.838,0.016,0,0.016,0.725782414307005,0.15801030061901,0.570841889117043,0.769543198348241,0.274217585692996,0.365626240094502,0.380434782608696,1.39920285013022,0.536512667660209,0.0890896858060161,32.0722868901658,0.525,0.664166978924978,0.451564828614009,0.37737676884341,114.345160959553,0.498349834983498,1.2486149198939,774,132,0.0829024114691064,64.1664664770884,0.42764857881137,0.953769031285812,0.627450980392157,0.256906077348066,2.51270718232044,910,0.983425414364641,356,0.640883977900553,0,78,-0.0897435897435897,68.6,-1.528,0.022,0,0.022,0.656330749354005,-0.0410467961766886,0.44488188976378,0.762010780738182,0.343669250645995,0.319617439604685,85.5265899664334,0.394736842105263,1.36650583722643,0.467700258397933,-0.0431282704784404,-15.6124339131954,0.386740331491713,0.788552918780738,0.509043927648579,0.217072563366582,85.5265899664334,0.439086294416244,1.21992965492746
"14",14,"Florida",2006,TRUE,375,175,4856,3279,3246,2085,229,362,0.632596685082873,8.96685082872928,4.81524249422633,25,14,20,265,0.432432432432432,255.083333333333,373.538461538462,252.230769230769,28.8461538461538,13.4615384615385,13,"SEC",758,149,0.0929619262312539,70.4651400832904,0.41820580474934,0.94306636421391,0.685714285714286,0.23936170212766,2.84468085106383,1070,1.18085106382979,444,1.08776595744681,409,94,-0.223404255319149,70.9,1.388,0.025,0,0.025,0.670184696569921,0.0104521466771482,0.474409448818898,0.728205925935997,0.329815303430079,0.260621798285197,0.304,1.62440012243729,0.496042216358839,0.0140891963030939,5.2975378099633,0.377659574468085,0.831075052331168,0.494722955145119,0.18461872477581,69.2320217909286,0.450666666666667,1.08261134972855,764,148,-0.0268611829153752,-20.5219437473467,0.352094240837696,0.99356645922639,0.695652173913043,0.241721854304636,2.40695364238411,727,0.884105960264901,267,0.754966887417219,0,68,-0.205882352941176,71.9,-1.299,0.038,0,0.038,0.615183246073298,-0.105955405463746,0.402127659574468,0.793939577020216,0.384816753926702,0.0995819619748779,4.08375606622673,0.272108843537415,1.46518496843847,0.395287958115183,-0.0828717691201877,-25.0272742742967,0.341059602649007,0.774117492091878,0.591623036649215,0.00903485855359895,4.08375606622673,0.345132743362832,1.19944680375456
"3",3,"Alabama",2012,TRUE,500,139,5694,3198,2788,2906,199,300,0.663333333333333,9.29333333333333,5.5352380952381,15,3,17,275,0.467532467532468,454.766666666667,438,246,38.4615384615385,10.6923076923077,13,"SEC",680,131,0.199076591826225,135.372082441833,0.488235294117647,0.884443953089873,0.761904761904762,0.124668435013263,3.77612732095491,1424,1.46684350132626,553,1.26259946949602,476,106,0.0660377358490566,66.8,1.671,0.014,0,0.014,0.727941176470588,0.134254574303095,0.539393939393939,0.744379120660411,0.272058823529412,0.372519287361089,0.351351351351351,1.45978718783858,0.554411764705882,0.218329031727117,82.310044961123,0.511936339522546,0.757561975782633,0.423529411764706,0.200680620844468,57.7960188032067,0.430555555555556,1.22709606792166,652,134,-0.0197604691202779,-12.8838258664212,0.351226993865031,0.977858732817516,0.55,0.213592233009709,2.23980582524272,692,0.588996763754045,182,0.427184466019417,0,50,-0.14,74.8,-1.067,0.017,0,0.017,0.639570552147239,-0.100356754635212,0.407673860911271,0.70948915798674,0.360429447852761,0.123255067304094,39.46236920917,0.251063829787234,1.75112699927907,0.473926380368098,-0.166208047400997,-51.358286646908,0.317152103559871,0.626579022673734,0.519938650306748,0.116408168758614,39.46236920917,0.374631268436578,1.28750247261314
"42",42,"Texas",2025,FALSE,355,237,4597,4032,3038,1559,237,386,0.6139896373057,7.87046632124352,3.9974358974359,8,7,13,223,0.4,343.616666666667,383.083333333333,336,29.5833333333333,19.75,9,"SEC",725,136,0.159989055140989,115.992064977217,0.398620689655172,1.3562691955664,0.666666666666667,0.224188790560472,2.83244837758112,960,1.02654867256637,348,0.858407079646018,291,78,3.3974358974359,68.7,1.547,0.158,0.101,0.057,0.671724137931034,0.0405323585299909,0.439425051334702,1.06804606874756,0.328275862068966,0.404423556189545,0.315126050420168,2.17866585075615,0.467586206896552,0.0556995650303629,18.882152545293,0.418879056047198,0.879071860471089,0.51448275862069,0.278926711162615,104.039663263655,0.386058981233244,1.76881285666146,739,135,0.108847353918779,80.4381945459775,0.397834912043302,1.18385831317826,0.5,0.216463414634146,2.58689024390244,849,0.975609756097561,320,0.753048780487805,0,56,3.82142857142857,74.5,-1.103,0.179,0.113,0.066,0.677943166441137,0.0305383201822158,0.447105788423154,0.978043397291673,0.322056833558863,0.273691160229779,97.1242445450004,0.294117647058824,1.84246604401533,0.443843031123139,-0.0178003698612449,-5.83852131448834,0.384146341463415,0.82236523423773,0.545331529093369,0.241003088200994,97.1242445450004,0.406947890818859,1.47672334362591
"43",43,"Texas A&M",2012,FALSE,537,270,6628,4672,3807,2821,306,457,0.669584245076586,8.33041575492341,5.6195219123506,20,9,11,329,0.551912568306011,355.3,552.333333333333,389.333333333333,44.75,22.5,11,"SEC",805,136,0.197807391228204,159.234949938704,0.478260869565217,0.990148712004677,0.622222222222222,0.169665809768638,3.36401028277635,1309,1.2853470437018,500,1.46272493573265,569,114,-0.12280701754386,71.2,1.309,0.018,0,0.018,0.732919254658385,0.106901693494722,0.513559322033898,0.785109084849509,0.267080745341615,0.447269538496829,0.381395348837209,1.7477951391756,0.483229813664596,0.160275390250538,62.3471268074593,0.480719794344473,0.854473394984077,0.501863354037267,0.250649537902774,101.262413312721,0.46039603960396,1.21395333032932,704,131,0.000881176399560416,0.620348185290533,0.401988636363636,0.832614554438367,0.540540540540541,0.226114649681529,2.6687898089172,838,0.834394904458599,262,0.471337579617834,0,79,-0.177215189873418,72.7,-1.211,0.016,0,0.016,0.680397727272727,-0.0625789407311678,0.440501043841336,0.713967120941994,0.319602272727273,0.135980714646755,28.3873187083731,0.32,1.18031744982357,0.446022727272727,-0.0797223953596232,-25.0328321429217,0.388535031847134,0.641085455673035,0.536931818181818,0.0750987267417277,28.3873187083731,0.394179894179894,1.07484316573227
"37",37,"Ole Miss",2025,FALSE,447,241,5983,3999,3715,2268,260,404,0.643564356435644,9.19554455445545,4.62857142857143,12,8,7,306,0.459627329192547,356.366666666667,498.583333333333,333.25,37.25,20.0833333333333,11,"SEC",814,123,0.31186913180042,253.861473285542,0.47051597051597,1.32988243726202,0.7875,0.204176334106729,2.77517401392111,1196,1.02784222737819,443,1.19721577726218,516,89,4.67415730337079,72,1.247,0.136,0.079,0.057,0.711302211302211,0.193156319297714,0.500863557858377,1.04947000717342,0.288697788697789,0.604357295370918,0.395744680851064,2.20428678915121,0.52948402948403,0.154547924527329,66.610155471279,0.443155452436195,0.992153251802305,0.461916461916462,0.491157589141269,184.675253517117,0.502659574468085,1.64575260720346,698,123,0.132694589973557,92.620823801543,0.396848137535817,1.28300576999508,0.717948717948718,0.165714285714286,3.15,1103,1.05714285714286,370,1.27428571428571,0,64,3.015625,72.4,-1.17,0.161,0.097,0.064,0.669054441260745,0.08512176284861,0.45610278372591,1.03872710964404,0.330945558739255,0.228869959096286,34.6477865764735,0.277056277056277,2.09599568647586,0.501432664756447,0.223574829542021,78.2511903397073,0.442857142857143,1.11146319060608,0.48567335243553,0.102205860107591,34.6477865764735,0.359882005899705,1.50094921102208
"47",47,"USC",2004,TRUE,441,150,5313,3273,3354,2113,264,394,0.67005076142132,8.51269035532995,4.54408602150538,19,7,19,273,0.416666666666667,235.2,442.75,272.75,36.75,12.5,13,"Big Ten",700,133,0.0199765706535394,13.9835994574776,0.397142857142857,1.00434646546695,0.731707317073171,0.262996941896024,2.59510703363914,849,1.04587155963303,342,0.82262996941896,269,123,0,63.4,1.879,0.013,0,0.013,0.682857142857143,-0.0338883645824171,0.4581589958159,0.836667584648999,0.317142857142857,0.13595602580123,0.265765765765766,1.62674773494377,0.467142857142857,-0.0568219829403213,-18.5807884214851,0.409785932721713,0.780930593832784,0.487142857142857,0.15510477688075,52.8907289163358,0.422287390029326,1.21224734601542,664,134,-0.0933609481848238,-61.991669594723,0.332831325301205,0.95234433241544,0.56,0.392361111111111,1.55,446,0.826388888888889,238,0.822916666666667,0,125,-0.056,73.9,-1.116,0.027,0,0.027,0.61144578313253,-0.212767787848625,0.394088669950739,0.714268249854445,0.38855421686747,0.0945428382628625,18.0786537180303,0.236434108527132,1.57680618831313,0.433734939759036,-0.186458442527607,-53.7000314479509,0.291666666666667,0.901039101772363,0.531626506024096,0.0512143164816722,18.0786537180303,0.388101983002833,0.983801554123604
"25",25,"LSU",2019,TRUE,621,275,7206,4437,5029,2177,363,476,0.762605042016807,10.5651260504202,4.84855233853007,12,7,16,359,0.506329113924051,386.366666666667,554.307692307692,341.307692307692,47.7692307692308,21.1538461538462,15,"SEC",906,161,0.465600514486288,421.834066124577,0.582781456953642,1.257616183199,0.743243243243243,0.173913043478261,3.40869565217391,1254,1.46739130434783,540,1.54891304347826,570,127,4.74015748031496,70.5,1.412,0.162,0.096,0.066,0.753863134657837,0.418602304243144,0.610541727672035,1.12042738851877,0.246136865342163,0.609545705500044,0.497757847533632,1.77300111456527,0.406181015452539,0.233565216986924,85.951999851188,0.557065217391304,0.854828037024148,0.571743929359823,0.662045939392561,342.939796605347,0.586872586872587,1.60852425355296,797,158,0.119623747720179,95.3401269329826,0.381430363864492,1.34945711703707,0.533333333333333,0.209039548022599,2.82570621468927,1000,1.00847457627119,357,1.51977401129943,0,81,3.08641975308642,74,-1.064,0.233,0.125,0.107,0.642409033877039,0.0918702755150407,0.447265625,1.14197818909541,0.357590966122961,0.169482617085199,83.5662702401469,0.263157894736842,1.98295944368561,0.444165621079046,0.0411162095038233,14.5551381643534,0.406779661016949,0.917456758480903,0.542032622333752,0.19344044037071,83.5662702401469,0.347222222222222,1.82817489300828
"26",26,"Louisville",2016,FALSE,544,280,6705,3795,3624,3081,238,409,0.581907090464548,8.86063569682152,6.28775510204082,31,10,14,312,0.441717791411043,349.766666666667,558.75,316.25,45.3333333333333,23.3333333333333,9,"ACC",775,153,0.330815607931432,256.38209614686,0.495483870967742,1.31441718157591,0.75609756097561,0.173076923076923,3.51510989010989,1280,1.75824175824176,640,2.90384615384615,1057,104,4.35576923076923,67.8,1.542,0.167,0.115,0.052,0.681290322580645,0.281576532217679,0.547348484848485,1.17077266981633,0.318709677419355,0.436071607837754,0.384615384615385,1.75139890682347,0.469677419354839,0.379574706465949,138.165193153605,0.532967032967033,1.16097756765877,0.507096774193548,0.327645365613961,128.764628686287,0.442748091603053,1.64799447460265,717,152,0.0602752456109279,43.2173511030353,0.364016736401674,1.29467563826348,0.647058823529412,0.245762711864407,2.53954802259887,899,0.96045197740113,340,0.96045197740113,0,78,3.28205128205128,68.2,-1.527,0.19,0.126,0.064,0.630404463040446,-0.0416206042905913,0.404867256637168,1.02253765087132,0.369595536959554,0.234074959405217,66.9626884133582,0.294339622641509,1.93315322406818,0.493723849372385,-0.0698890943110507,-24.740739386112,0.34180790960452,0.855849676720068,0.489539748953975,0.190776890066548,66.9626884133582,0.364672364672365,1.82310256740509
