"","school","season","total_wins","rushing_yards","turnovers","off_drives","off_stuff_rate","off_total_opportunities","off_rushing_plays_rate","off_passing_plays_success_rate","points_allowed_pg","def_field_pos_avg_start","def_passing_plays_rate"
"31","Ohio State",2014,14,3390,20,172,0.157142857142857,116,0.58091286307054,0.482142857142857,21.1538461538462,74.4,0.507847533632287
"15","Florida",2007,9,2372,15,126,0.158333333333333,102,0.536512667660209,0.498349834983498,24.1666666666667,68.6,0.509043927648579
"14","Florida",2006,13,2085,25,149,0.23936170212766,94,0.496042216358839,0.450666666666667,13.4615384615385,71.9,0.591623036649215
"3","Alabama",2012,13,2906,15,131,0.124668435013263,106,0.554411764705882,0.430555555555556,10.6923076923077,74.8,0.519938650306748
"42","Texas",2025,9,1559,8,136,0.224188790560472,78,0.467586206896552,0.386058981233244,19.75,74.5,0.545331529093369
"43","Texas A&M",2012,11,2821,20,136,0.169665809768638,114,0.483229813664596,0.46039603960396,22.5,72.7,0.536931818181818
"37","Ole Miss",2025,11,2268,12,123,0.204176334106729,89,0.52948402948403,0.502659574468085,20.0833333333333,72.4,0.48567335243553
"47","USC",2004,13,2113,19,133,0.262996941896024,123,0.467142857142857,0.422287390029326,12.5,73.9,0.531626506024096
"25","LSU",2019,15,2177,12,161,0.173913043478261,127,0.406181015452539,0.586872586872587,21.1538461538462,74,0.542032622333752
"26","Louisville",2016,9,3081,31,153,0.173076923076923,104,0.469677419354839,0.442748091603053,23.3333333333333,68.2,0.489539748953975
"27","Miami",2024,10,2151,13,134,0.107042253521127,97,0.426682692307692,0.49685534591195,23.9166666666667,72.3,0.554183813443073
"5","Alabama",2016,14,3185,19,173,0.198841698841699,109,0.55047821466525,0.398009950248756,11.7692307692308,70.3,0.555685814771395
"39","Oregon",2025,11,2621,9,105,0.14327485380117,80,0.522137404580153,0.490066225165563,14.8333333333333,73.5,0.479061976549414
"28","Miami",2025,10,1799,11,117,0.14367816091954,84,0.497142857142857,0.511764705882353,13.8333333333333,74.9,0.545454545454545
"9","Auburn",2010,14,3733,15,157,0.163339382940109,109,0.651300236406619,0.464028776978417,24.4615384615385,72.1,0.569739952718676
"29","Michigan",2023,15,2103,7,137,0.126436781609195,97,0.562015503875969,0.529761904761905,9.46153846153846,75.6,0.516369047619048
"8","Alabama",2025,10,1512,12,127,0.183098591549296,83,0.433455433455433,0.469162995594714,17.3846153846154,71.5,0.471830985915493
"40","Tennessee",2025,8,2133,14,128,0.142487046632124,85,0.489226869455006,0.503856041131105,28.75,72.5,0.488275862068966
"7","Alabama",2020,13,2081,11,124,0.149560117302053,98,0.46969696969697,0.612987012987013,19.4545454545455,73.9,0.526158445440957
"10","Boise State",2006,13,2674,18,125,0.18848167539267,88,0.595015576323987,0.429718875502008,15.5833333333333,72.3,0.569514237855946
"35","Oklahoma",2018,12,3305,12,149,0.164785553047404,102,0.526753864447087,0.550913838120104,32.3846153846154,72,0.484221980413493
"19","Florida",2025,4,1641,18,122,0.154088050314465,59,0.472511144130758,0.375358166189112,24,69.8,0.449061662198391
"4","Alabama",2015,14,2707,17,178,0.163873370577281,104,0.539156626506024,0.423963133640553,14.3846153846154,72.3,0.572953736654804
"45","Texas Tech",2025,12,2498,14,136,0.177777777777778,108,0.467532467532468,0.445,10.9230769230769,73.9,0.572542901716069
"17","Florida",2009,13,2928,16,127,0.20460358056266,120,0.543055555555556,0.42671009771987,11.5384615384615,73.5,0.464396284829721
"11","Boise State",2024,12,3269,8,151,0.172557172557173,87,0.549086757990868,0.474619289340102,21.9230769230769,72.8,0.555828220858896
"49","Vanderbilt",2025,10,2236,12,112,0.158536585365854,77,0.484490398818316,0.569321533923304,21.9166666666667,72.2,0.553544494720965
"21","Georgia",2022,15,2691,16,146,0.173814898419865,116,0.513921113689095,0.548926014319809,12.7692307692308,74,0.60752688172043
"12","Clemson",2016,14,2250,24,187,0.175105485232068,127,0.442577030812325,0.512864493996569,18.3846153846154,68.3,0.529808773903262
"48","USC",2005,12,2859,13,122,0.171171171171171,111,0.465734265734266,0.486631016042781,22.0909090909091,71.3,0.533434650455927
"30","Nebraska",2009,10,1836,23,157,0.191142191142191,88,0.545108005082592,0.354354354354354,11.2307692307692,72.9,0.559859154929577
"13","Clemson",2018,15,3376,16,159,0.138014527845036,110,0.470387243735763,0.479028697571744,13.6923076923077,73,0.49875
"23","Indiana",2025,13,2944,8,116,0.156498673740053,94,0.542446043165468,0.561688311688312,10.8461538461538,73.4,0.542517006802721
"34","Oklahoma",2017,12,2807,12,161,0.206666666666667,108,0.504484304932735,0.557377049180328,25,70,0.495412844036697
